date,country,trHedgedUSD
1971-01-01,Australia,0.008678394893939938
1971-02-01,Australia,0.0032575514618908242
1971-03-01,Australia,0.0008972555106745582
1971-04-01,Australia,0.005066326430763028
1971-05-01,Australia,0.0022437158852775052
1971-06-01,Australia,0.004015293808891096
1971-07-01,Australia,0.01028786846193536
1971-08-01,Australia,0.021846414973971818
1971-09-01,Australia,0.027797565561253443
1971-10-01,Australia,0.020057812840295935
1971-11-01,Australia,0.03503757436334124
1971-12-01,Australia,0.01813142974363834
1972-01-01,Australia,0.025663282280698953
1972-02-01,Australia,0.0028080723976673214
1972-03-01,Australia,0.0026779554878183114
1972-04-01,Australia,0.003596799565763297
1972-05-01,Australia,0.0037075568555388193
1972-06-01,Australia,0.0073485049055314906
1972-07-01,Australia,0.008552525719796669
1972-08-01,Australia,0.004815857823647407
1972-09-01,Australia,0.0031551028662344634
1972-10-01,Australia,0.006277038177750147
1972-11-01,Australia,0.01690627146977023
1972-12-01,Australia,0.06580782460232495
1973-01-01,Australia,0.06543065870971596
1973-02-01,Australia,0.04560138753014437
1973-03-01,Australia,-0.01600766102579759
1973-04-01,Australia,1.1354242826554749e-05
1973-05-01,Australia,-0.030460947858092675
1973-06-01,Australia,0.0068911913192703875
1973-07-01,Australia,0.007158655836191223
1973-08-01,Australia,-0.06727329475649517
1973-09-01,Australia,0.01914838814482346
1973-10-01,Australia,0.006866711275749675
1973-11-01,Australia,0.00713651888484173
1973-12-01,Australia,0.006555176959634546
1974-01-01,Australia,0.008814793457554782
1974-02-01,Australia,0.005214415732189304
1974-03-01,Australia,0.004455128939809453
1974-04-01,Australia,-0.0028678084860997363
1974-05-01,Australia,-0.07038856891488296
1974-06-01,Australia,0.00034286757155980833
1974-07-01,Australia,0.007319099150622047
1974-08-01,Australia,-0.01703055116508375
1974-09-01,Australia,-0.0898285861972405
1974-10-01,Australia,0.008569328817900648
1974-11-01,Australia,0.011355724105294385
1974-12-01,Australia,0.022369889077750563
1975-01-01,Australia,0.013589476780237053
1975-02-01,Australia,0.01270999308942646
1975-03-01,Australia,-0.007383360235640278
1975-04-01,Australia,0.0031061044407042857
1975-05-01,Australia,0.001021759445543854
1975-06-01,Australia,-0.04499439323743786
1975-07-01,Australia,-0.014996770302446154
1975-08-01,Australia,-0.0035550371366759436
1975-09-01,Australia,0.0015874780918113526
1975-10-01,Australia,0.006355926529082416
1975-11-01,Australia,-0.0013324445786070628
1975-12-01,Australia,0.0069784311449241345
1976-01-01,Australia,0.008689255740209829
1976-02-01,Australia,-0.0029021930484471646
1976-03-01,Australia,-0.004019824397218033
1976-04-01,Australia,0.0012037254283035464
1976-05-01,Australia,-0.00038732185150365354
1976-06-01,Australia,0.010209321139378533
1976-07-01,Australia,0.009907997498828659
1976-08-01,Australia,0.005308412909017646
1976-09-01,Australia,-0.0016144819606802724
1976-10-01,Australia,-0.018662536959389686
1976-11-01,Australia,-0.14500676937727253
1976-12-01,Australia,0.03591356678292732
1977-01-01,Australia,0.009582150904909362
1977-02-01,Australia,0.0125009807364353
1977-03-01,Australia,0.009645181930710827
1977-04-01,Australia,0.00064286132316797
1977-05-01,Australia,0.008251489134002194
1977-06-01,Australia,0.016319213138510334
1977-07-01,Australia,-0.011359866273005632
1977-08-01,Australia,0.017525630623432507
1977-09-01,Australia,0.029066212916845448
1977-10-01,Australia,0.02617023476525015
1977-11-01,Australia,0.02917983745851282
1977-12-01,Australia,0.018062277229480863
1978-01-01,Australia,0.013223229513586707
1978-02-01,Australia,0.006987001501772477
1978-03-01,Australia,0.007910276294500375
1978-04-01,Australia,-0.002197536068114598
1978-05-01,Australia,0.014135946335062979
1978-06-01,Australia,0.014361438183822135
1978-07-01,Australia,0.016233245785967215
1978-08-01,Australia,0.004830250516403568
1978-09-01,Australia,0.026896055532848347
1978-10-01,Australia,-0.007776776300297
1978-11-01,Australia,0.003911224574395656
1978-12-01,Australia,0.003837010059816911
1979-01-01,Australia,-0.009362254064931297
1979-02-01,Australia,-0.023116352360421352
1979-03-01,Australia,-0.022042757330469193
1979-04-01,Australia,0.001417572297287951
1979-05-01,Australia,-0.006356606548848684
1979-06-01,Australia,0.01877719003450164
1979-07-01,Australia,0.008496995108381089
1979-08-01,Australia,0.007154664602963547
1979-09-01,Australia,-0.002788892461361348
1979-10-01,Australia,-0.007431422679982164
1979-11-01,Australia,0.018801728398121845
1979-12-01,Australia,-0.005755973020438326
1980-01-01,Australia,0.00014529094175116594
1980-02-01,Australia,-0.039585456896919974
1980-03-01,Australia,-0.01684326027878485
1980-04-01,Australia,0.04479060686943878
1980-05-01,Australia,0.028168660669912873
1980-06-01,Australia,0.009197736341933478
1980-07-01,Australia,0.003239981072932629
1980-08-01,Australia,0.020456804392596315
1980-09-01,Australia,0.004789188866620466
1980-10-01,Australia,-0.024197713783254388
1980-11-01,Australia,0.0037665465510855582
1980-12-01,Australia,-0.001583691215582269
1981-01-01,Australia,-0.0012681075709475714
1981-02-01,Australia,0.011158582832104615
1981-03-01,Australia,0.0018267224241988473
1981-04-01,Australia,-0.0020959396812821243
1981-05-01,Australia,0.01168635054113839
1981-06-01,Australia,-0.028580213569630315
1981-07-01,Australia,-0.04482074416755517
1981-08-01,Australia,0.020676374599464406
1981-09-01,Australia,0.006816789250904055
1981-10-01,Australia,0.013897068864745642
1981-11-01,Australia,0.0001404204450693846
1981-12-01,Australia,-0.008316585613437781
1982-01-01,Australia,-0.021791405670955437
1982-02-01,Australia,-0.01661649817291885
1982-03-01,Australia,-0.0025657813123136294
1982-04-01,Australia,-0.04483710446290319
1982-05-01,Australia,-0.01614962001998001
1982-06-01,Australia,-0.01199995901014124
1982-07-01,Australia,-0.027823780844327052
1982-08-01,Australia,0.05075520801254818
1982-09-01,Australia,0.02522797871998623
1982-10-01,Australia,0.004109643560953424
1982-11-01,Australia,0.06632182007379732
1982-12-01,Australia,0.0791081718206505
1983-01-01,Australia,-0.03956278934691013
1983-02-01,Australia,-0.11732950328005678
1983-03-01,Australia,0.0031588211853286856
1983-04-01,Australia,0.07466916540105219
1983-05-01,Australia,-0.07597999307860792
1983-06-01,Australia,-4.1129729491677126e-05
1983-07-01,Australia,0.018558881575727125
1983-08-01,Australia,0.04823855327688935
1983-09-01,Australia,0.08073693477229478
1983-10-01,Australia,0.022797051231961282
1983-11-01,Australia,-0.0235376732525266
1983-12-01,Australia,0.017493414781935
1984-01-01,Australia,0.015255827588271646
1984-02-01,Australia,0.02093474082243532
1984-03-01,Australia,-0.011361341394544172
1984-04-01,Australia,-0.02350574263567206
1984-05-01,Australia,0.00317381933906503
1984-06-01,Australia,-0.014807383777018679
1984-07-01,Australia,0.04486839359931416
1984-08-01,Australia,-0.025407903878092157
1984-09-01,Australia,0.011966477869953003
1984-10-01,Australia,0.033550704268025186
1984-11-01,Australia,-0.02104497717116785
1984-12-01,Australia,-0.006310324395592648
1985-01-01,Australia,-0.11791270877399977
1985-02-01,Australia,-0.05391740335950485
1985-03-01,Australia,-0.05732734490689799
1985-04-01,Australia,0.040787857113646186
1985-05-01,Australia,0.0033779224150855204
1985-06-01,Australia,0.06109479317289599
