date,country,yield3M,yield10Y
1979-11-01,Australia,0.1012,0.1008
1979-12-01,Australia,0.1012,0.1008
1980-01-01,Australia,0.1003,0.1045
1980-02-01,Australia,0.10060000000000001,0.10550000000000001
1980-03-01,Australia,0.11470000000000001,0.11199999999999999
1980-04-01,Australia,0.1328,0.1173
1980-05-01,Australia,0.1383,0.11779999999999999
1980-06-01,Australia,0.1383,0.1176
1980-07-01,Australia,0.12869999999999998,0.11779999999999999
1980-08-01,Australia,0.1233,0.1182
1980-09-01,Australia,0.11689999999999999,0.11779999999999999
1980-10-01,Australia,0.11220000000000001,0.11900000000000001
1980-11-01,Australia,0.1127,0.1242
1980-12-01,Australia,0.1245,0.126
1981-01-01,Australia,0.1261,0.131
1981-02-01,Australia,0.1336,0.131
1981-03-01,Australia,0.1463,0.131
1981-04-01,Australia,0.16690000000000002,0.131
1981-05-01,Australia,0.1628,0.131
1981-06-01,Australia,0.1558,0.131
1981-07-01,Australia,0.1539,0.139
1981-08-01,Australia,0.1572,0.15
1981-09-01,Australia,0.1535,0.15
1981-10-01,Australia,0.1469,0.15
1981-11-01,Australia,0.1462,0.15
1981-12-01,Australia,0.15539999999999998,0.15
1982-01-01,Australia,0.16210000000000002,0.15
1982-02-01,Australia,0.17120000000000002,0.151
1982-03-01,Australia,0.1889,0.1515
1982-04-01,Australia,0.2139,0.152
1982-05-01,Australia,0.1845,0.16399999999999998
1982-06-01,Australia,0.1857,0.16399999999999998
1982-07-01,Australia,0.1729,0.16399999999999998
1982-08-01,Australia,0.17170000000000002,0.165
1982-09-01,Australia,0.15460000000000002,0.152
1982-10-01,Australia,0.1457,0.14550000000000002
1982-11-01,Australia,0.1476,0.146
1982-12-01,Australia,0.1213,0.14
1983-01-01,Australia,0.1065,0.13
1983-02-01,Australia,0.1377,0.136
1983-03-01,Australia,0.15259999999999999,0.14400000000000002
1983-04-01,Australia,0.1392,0.141
1983-05-01,Australia,0.1215,0.131
1983-06-01,Australia,0.1424,0.147
1983-07-01,Australia,0.128,0.14800000000000002
1983-08-01,Australia,0.1216,0.147
1983-09-01,Australia,0.1106,0.14150000000000001
1983-10-01,Australia,0.1094,0.134
1983-11-01,Australia,0.10550000000000001,0.132
1983-12-01,Australia,0.0889,0.135
1984-01-01,Australia,0.09759999999999999,0.135
1984-02-01,Australia,0.1204,0.14
1984-03-01,Australia,0.1377,0.141
1984-04-01,Australia,0.1388,0.139
1984-05-01,Australia,0.1378,0.14150000000000001
1984-06-01,Australia,0.1281,0.1375
1984-07-01,Australia,0.12300000000000001,0.1315
1984-08-01,Australia,0.11560000000000001,0.128
1984-09-01,Australia,0.10529999999999999,0.131
1984-10-01,Australia,0.1117,0.132
1984-11-01,Australia,0.11259999999999999,0.1325
1984-12-01,Australia,0.1234,0.134
1985-01-01,Australia,0.1335,0.131
1985-02-01,Australia,0.1381,0.13699999999999998
1985-03-01,Australia,0.15289999999999998,0.138
1985-04-01,Australia,0.15789999999999998,0.13949999999999999
1985-05-01,Australia,0.1553,0.138
1985-06-01,Australia,0.1575,0.135
1985-07-01,Australia,0.1514,0.134
1985-08-01,Australia,0.1625,0.13949999999999999
1985-09-01,Australia,0.1678,0.138
1985-10-01,Australia,0.1636,0.14550000000000002
1985-11-01,Australia,0.1818,0.1505
1985-12-01,Australia,0.1956,0.1485
1986-01-01,Australia,0.18969999999999998,0.141
1986-02-01,Australia,0.18289999999999998,0.13699999999999998
1986-03-01,Australia,0.16440000000000002,0.126
1986-04-01,Australia,0.1576,0.1225
1986-05-01,Australia,0.14730000000000001,0.1265
1986-06-01,Australia,0.14679999999999999,0.1295
1986-07-01,Australia,0.1485,0.142
1986-08-01,Australia,0.17370000000000002,0.141
1986-09-01,Australia,0.1808,0.13849999999999998
1986-10-01,Australia,0.16820000000000002,0.136
1986-11-01,Australia,0.159,0.136
1986-12-01,Australia,0.1553,0.134
1987-01-01,Australia,0.1586,0.138
1987-02-01,Australia,0.16699999999999998,0.14
1987-03-01,Australia,0.1641,0.13449999999999998
1987-04-01,Australia,0.1508,0.1305
1987-05-01,Australia,0.1414,0.13
1987-06-01,Australia,0.1368,0.128
1987-07-01,Australia,0.12990000000000002,0.1295
1987-08-01,Australia,0.12539999999999998,0.1295
1987-09-01,Australia,0.11699999999999999,0.125
1987-10-01,Australia,0.1199,0.1365
1987-11-01,Australia,0.1245,0.133
1987-12-01,Australia,0.11460000000000001,0.1285
1988-01-01,Australia,0.1105,0.124
1988-02-01,Australia,0.10949999999999999,0.12300000000000001
1988-03-01,Australia,0.10949999999999999,0.11900000000000001
1988-04-01,Australia,0.1139,0.115
1988-05-01,Australia,0.12279999999999999,0.12300000000000001
1988-06-01,Australia,0.131,0.1195
1988-07-01,Australia,0.1308,0.1195
1988-08-01,Australia,0.1332,0.11800000000000001
1988-09-01,Australia,0.1364,0.1195
1988-10-01,Australia,0.14,0.11900000000000001
1988-11-01,Australia,0.14730000000000001,0.1235
1988-12-01,Australia,0.15109999999999998,0.1295
1989-01-01,Australia,0.15560000000000002,0.133
1989-02-01,Australia,0.1654,0.1365
1989-03-01,Australia,0.1725,0.1365
1989-04-01,Australia,0.1746,0.134
1989-05-01,Australia,0.1752,0.139
1989-06-01,Australia,0.1837,0.135
1989-07-01,Australia,0.18059999999999998,0.1335
1989-08-01,Australia,0.1796,0.1295
