date,country,erHedgedUSD,erUnhedgedUSD
1971-01-01,Australia,0.005227124670554417,0.00730516330752784
1971-02-01,Australia,0.0004517219463484601,0.0036878731001714904
1971-03-01,Australia,-0.0022014508040573144,0.0013705843882105828
1971-04-01,Australia,0.0017107370196127736,0.004746962326606763
1971-05-01,Australia,-0.0016076929619293079,0.0010339737047373454
1971-06-01,Australia,6.78529353752566e-05,0.0027666447762244584
1971-07-01,Australia,0.005883996898182753,0.007163471589046511
1971-08-01,Australia,0.017232169995681668,0.01825376773339804
1971-09-01,Australia,0.023348140932918815,0.024144501361564652
1971-10-01,Australia,0.015743088520788318,0.016665197011761945
1971-11-01,Australia,0.031090133489825478,0.03206706635719958
1971-12-01,Australia,0.014680159520252811,0.01621462496117898
1972-01-01,Australia,0.022729015166569777,0.024470681833236307
1972-02-01,Australia,0.00022515743581341674,0.00205849076914677
1972-03-01,Australia,-0.0005192751148350716,0.0008723915518316083
1972-04-01,Australia,0.00023329310876141207,0.001341626442094901
1972-05-01,Australia,0.00014995977542819894,0.0012582931087614657
1972-06-01,Australia,0.0037557070173819262,0.004830707017382085
1972-07-01,Australia,0.0047663283441863324,0.0048083168692354405
1972-08-01,Australia,0.0008178898250783551,0.0006425679937180906
1972-09-01,Australia,-0.0007608707803439252,-0.0010701486980599917
1972-10-01,Australia,0.0020840158450499136,0.0014596177318950687
1972-11-01,Australia,0.012840926485188975,0.012933143855804907
1972-12-01,Australia,0.061387753603997286,0.06085160016133817
1973-01-01,Australia,0.06051785213456973,0.05974016785230063
1973-02-01,Australia,0.04070087294387115,0.03938969375198176
1973-03-01,Australia,-0.02184237570500136,-0.023202292070868324
1973-04-01,Australia,-0.005657765595345254,-0.006757765595345244
1973-05-01,Australia,-0.03689203852848355,-0.03808902321635166
1973-06-01,Australia,0.00017108326381531924,-0.0015630493820384395
1973-07-01,Australia,-0.001279868328175393,-0.004541329747275391
1973-08-01,Australia,-0.07578936668216107,-0.07900435584435128
1973-09-01,Australia,0.010698415748353396,0.009496913444101418
1973-10-01,Australia,-0.001268761167701804,-0.0015693036804635963
1973-11-01,Australia,-0.0007505477385999493,-0.001436524664790717
1973-12-01,Australia,-0.0015335849091898668,-0.002122114988517332
1974-01-01,Australia,0.0009599349154378878,0.0006406422621287877
1974-02-01,Australia,-0.0013971199852850225,-0.0009527877742860902
